Record Code,Title,Description,Retention Period,Event
OP100-3,"Motor Vehicle Records 
| Routine Records re Daily Use","| (a) Routine documents pertaining to the daily use and operation of vehicles. These records include operating records relating to gas/oil consumption, dispatching, scheduling; maintenance service and repair records, and motor vehicle reports as required (other than accident, operating, and maintenance reports).",3 Years,Date of Report
OP100-7,"Motor Vehicle Records 
| Automotive & Work Equipment Data Files","| (b) Automotive & Work Equipment Data Files Equipment inventory and maintenance files such as labor hours, parts used, purchase price of parts, maintenance history, and specifications. Automotive fleet records may include purchase / lease information, maintenance history, mileage history registration information, accident history, commercial drivers licenses (CDL), and vehicle inspection reports.",7 Years,
OP101-3,Commuter Rail Services,"| Files relating to Commuter Services for Maryland Area Rail Commuter (MARC) and Virginia Rail Railway Express (VRE). Equipment Cross Leasing: monthly invoices for service provided by Amtrak and supporting documents; work schedules and crew assignments: MARC passenger counts received from Revenue Accounting for all Penn Line trains: Train Fuel These tiles include, but are not limited to: Reports records supporting MARC and VRE usage of reimbursable train fuel; Uniform Requisitions (orders placed by crews purchased by Amtrak and reimbursable by MARC and/or VRE); and Units In-Out Reports (monthly listing of units in and out of Washington Union Terminal); daily train delay reports for MARC and VRE; M of E Equipment MAP forms and material requisition records.",3 Years,Expiration of Operating Agmt and Final Payment of Invoices
OP102-3 ,Food and Beverage (Other than sales)1,"| Files regarding train provisioning activities, including but not limited to: train specific spreadsheets of items and quantities issued to trains; cart loading, diagrams used to assemble orders for cart service; train specific back order forms used by Lisa’s to back order supplies from catering facilities; spreadsheets with current diner/lounge product and menu details; and forms used to submit menu change requests. 
| These files include, but are not limited to, inventory evaluations and monthly inventory listings for purchases relating to the Food and Beverage Services, including liquor, laundry and linens, uniforms, etc. 
| Files related to food and beverage pricing and menus. These files may include, but are not limited to product specifications and costs, product and meal pictures, rotational schedules, bid packages and proposals, meeting minutes, menu and product suggestions, menu and facility planning documents, and contact information. These files are used for planning, reference and monitoring performance.",3 Years ,
OP103-7 ,Crew Management1,"| Documentation regarding the awarding of vacations. Vacations are determined through the bidding process and awarded by seniority. Once determined, the vacation schedule is posted and retained for reference. 
| Reports that document who worked each position on each train on any given day. One report is the Mass Sign-Up report that is compared to the OBS Running Board to identify who reported to work and who did not. It releases the time to pay each employee that worked. Both reports give the employees' name, train number, the time they reported to work, and the job number. These reports may be referred to when there have been claims against Amtrak. 
| Documentation submitted to Payroll that shows additional time worked by the employee. The hours are keyed into the LMS System where it releases payroll. This copy is retained in Crew Management for reference to answer employee inquiries. 
| Documentation supporting billing for accommodations submitted by vendor. This data is used to reconcile charges for lodging and transportation provided train and engine staff as well as on-board service crew. 
| Documents relating to employee uniform orders, including, but not limited to attire specifications, employee fittings, uniform receipts, and orders. 
| Documentation of two-way radios and accessories issued to a conductor 
| This record 1s maintained for tracking inventory and lost/found situations. 
| Records documenting employee purchases through payroll deduction process or when purchases made. The purchases include uniforms, Material Control items, jackets, overcoats, kitchen tools, luggage and other items. Employees sign and agree to have a payroll deduction when they purchase certain items and the documentation is sent directly to Payroll. This copy is retained for reference. The AAMPS System maintains documentation as well. 
| Daily reports from Payroll Department that list the crew reporting for work and the hours they worked. Crew Management Services ensures the time is reported correctly and sends it back to Payroll. 
| Reports generated daily or weekly that describe the current status of crew assignments. The reports include, but are not limited to, the T&E Vacancy Report which indicates the positions vacant on a train as it makes up for a run; the Standing Report which lists the staff reporting for duty; a vacation schedule so crew management will not call a person for duty. Also included in this records series are the assignment bulletins and awards which are generated on a weekly basis from LMS (the Labor Management System) and distributed nationwide. Open jobs are advertised in a bulletin and awards made according to seniority and other criteria. 
| Daily files compiled by the Call Center Assignment Clerk. 
| Position Snapshot. Hiring Plans. Contract Efficiency BLE and UTU. Crew base and train staffing estimates and comparisons.",7 Years ,
OP104-7,"Project Files 
| Labor Reports",| Detail of labor charged to projects. 49 CFR 1220.6,7 Years,
OP104-10 ,"Project Files (including project
|related photographs and labor clearances)","| These files cover all phases of engineering projects including contract submittals, internal and external correspondence, audits, specifications, design drawings, claims, suspension of work or modification of the contracted time, project progress reports, material conformance requirements and compliance, open issues log, corrective action memorandums, memos for the record, minutes of meetings, logs, contracts, review and close-out memos, etc. that are required to manage and ensure completion of major construction projects. 
| E. Project Management Records This record series includes but is not limited to, the records created in the process of planning, budgeting and scheduling projects. It includes but is not limited to: weekly status reports; budget project, project audit reports; scope change request, project completion form; and design records (encompassing the entire design process from conception through completion including design transmittals, engineering calculations, and drawings) 
| B Photos used to generate maintenance or repair of Amtrak structures. Incorporate into Construction Repair Project file and destroy as per ENG100. 
| C. Project Documentation - 5 years from project completion 
| Internal control documents created to authorize funding for a specific project. This document was used to request authorization for capital projects. 
| Files include budgets, Commitment Authorization Requests (CARS), project scope, and schedules. The detail is used support capital program development including any state capital-related contracts. Maintained on network share drive. Original hardcopy with signatures retained in Philadelphia. 
| Invoices issued for various projects including Maintenance of Way. Maintenance of Equipment, commuter state supported trains, special train moves, and Commercial Development. Real Estate statements are similar to invoices and are generally sent to Amtrak's retail tenants. 
| The project file contains, but is not limited to, contracts, lease analysis, correspondence, work papers, invoices, background material, progress reports, schedules.101-days, 2306's. Time Distribution Reports (TDR) and General Accounting Billing System (Gabs) Reports, and Bluebook. The project file documents the inception, scope, and completion of project. 
| Documents specific projects related to Backshop Improvements. Files include, but are not limited to: correspondence to various consultants, outside engineering firms, contractors, internal memos, design and layout drawings, capital funding justifications, etc. 
| Records establishing a means for procuring labor outside of existing labor unions. Contains initial request, correspondence with organization, and final disposition. 
| Records represent construction/repair work in Amtrak Facilities generated as a result of inspection, program maintenance, new construction, or modification to an existing structure.",10 Years ,Project Completion or Final Payment to Contractor
OP104-65,"Project Files 
| Historic Structures (National Register of Historic Places)","| Project file documents documenting the building of a structure that has been listed on, or nominated to, the National Register of Historic Places, including project files documenting engineering technological feats.",65 Years,
OP105-3,"Reports 
| Track Inspections2 
| Labor Productivity 
| Test/Inspection Reports2","| Federal Railroad Administration (FRA) and Amtrak MW 1000 required Track inspection Reports. Included are Daily Track Inspections, Weekly Track Inspections, and Monthly Track Inspections. Supervisor/Track Inspector Inspections, Spring Track Inspection, Fall Track Inspection, Monthly Joint Switch Inspection, Annual Switch and Frog Inspection, Record of Disturbance of Main CWR Track (Report A), Record of Track Movement due to surfacing (Report B); Weekly Summary of Track Disturbance - (Report C), Welded Rail - Record of Laying Temperature, Special Occurrence Reports. Geometry Car Inspections, Sperry Rail Inspections, Broken Rail Reports and FWDOT Inspections; Monthly Turnout Inspection, Special Track Inspections, Internal Rail Defect Inspections and Track Inspection Audits. These records also include a list of qualified track foreman/inspectors, and written record of foreman qualifications. 49 CFR 213.241{c} (The owner shall retain a rail inspection record for at least two years after the inspection and for one year after remedial action is taken.) 
| B. C&S Test / Inspection Reports Pertains to rewired testing inspections to be done in accordance with FRA. This record series includes, but is not limited to, the following: AMT 27 (Cover / sheets for Individual Test Forms) -- to remain in full compliance with Amtrak & FRA regulations; C&S 18 -- NRPC 3082; C&S 24 -- NRPC 3083; CT 405-11. AMT 27 tests include the following: 1) Interlocking Machine Reports; 2) Insulation Resistance (NRPC 2933, 2934. 2935, and 3081); 3) Relay/Electromagnetic Reports; 4) Switch Inspections (NRPC 2181); 5) Traffic Locking; 6) Ground Tests (NRPC 3082); 7) Track Circuits (NRPC 3083); 8) Highway Crossing (NRPC 3084); 9) Train Inspections; 10) Dragging Equipment Inspections; 11) High Load Detection; 12) Slide (Fence) Protection; 13) Recording Devices; and 14) Signal Mechanisms (NRPC 2919) 
| Data collection, data analysis and reports relating to Train & Engine, OBS, and other crafts Data used to manage and support changes and identify areas for improvement.",3 Years,Inspection/Remedial Action
OP105-7,"Reports 
| In
|depth Condition Assessments2 
| Trouble Reports (Communications & Signals) 
| FRA Mandated Reports (Communications & Signals) 
| Real Estate2 
| Rule Violation 
| Electric Traction Inspections/Tests 
| Structures2","| The following records ensure that Amtrak bridges and culverts are in good repair and optimal working conditions are within company guidelines and meet FRA standards. These reports may be for under grade bridges or overhead bridges. This record series includes but is no1 limited to the following: 1) Bridge Inspections Reports (NRPC 2064); 2) Culvert Inspections (NRPC 2875). 3) Movable Bridge inspections (Monthly and Quarterly); 4) Bridge and Culvert Regulatory Repair List (NRPC 2572), and 5) Special inspections Reports (In-depth Condition Assessment Reports and Underwater Inspection Reports) 49 CFR Appendix C to Pad 213 (Requires creation, no retention requirements); Amtrak MW 1000 
| A. Electric Traction (ET) Inspections / Test Records Records related to inspections and tests of Electric Traction equipment and apparatus. This series includes: catenaries inspections, substation inspections, geometry car information, doble records, clearance records, breaker overhaul, battery tests, and relay tests 
| A. C&S Trouble Reports Includes reports of incidents involving communication & signal department equipment & facilities. Information includes, but is not limited to, date and time of incident, tracking number, and description of trouble. Used to develop analysis and programs for maintenance projects and to track trouble through to repair. 
| D. Federal Railroad Administration Mandated Reports Includes all C&S related reports mandated by the FRA, such as False Proceed Signal Reports, Crossing Activation Failure Reports, Annual Signal Report, and applications for changes, and modifications to the signal system. 
| Monthly retail management reports (i.e., 30th St Station and Chicago Union Station) 
| Reports that capture rule violations (including major violations), information on damage costs, employees involved by craft and discipline, etc. Includes weekly and monthly reports.",7 Years,Structure Retirement/Transfer of Ownership Expiration of Report Filing of Report or Completion of Modifications
